group,participant,bin,targetCount,distractorCount,targetProp,target,verb,condition,coda,eLog,wts,landmark,lm_bin,landmark_2,phon_prob,biphon_prob,freq,pstm,wm
lb,L11,111,0,0,0,bebe,beber,stressed,0,-3.044522437723423,2.0952380952380953,word3_c1v1,111,tw_start,0.2518,0.0132,50,NA,5
lb,L11,127,0,0,0,llenó,llenar,unstressed,0,-3.044522437723423,2.0952380952380953,word3_c1v1,127,tw_start,0.1946,5e-4,61,NA,5
lb,L11,115,0,0,0,manda,mandar,stressed,1,-3.044522437723423,2.0952380952380953,word3_c1v1,115,tw_start,0.2871,0.0384,110,NA,5
lb,L11,131,0,0,0,firmó,firmar,unstressed,1,-3.044522437723423,2.0952380952380953,word3_c1v1,131,tw_start,0.1185,0.0055,47,NA,5
lb,L11,108,0,10,0,sube,subir,stressed,0,-3.044522437723423,2.0952380952380953,word3_c1v1,108,tw_start,0.1146,0.0136,NA,NA,5
lb,L11,107,0,0,0,pintó,pintar,unstressed,1,-3.044522437723423,2.0952380952380953,word3_c1v1,107,tw_start,0.2548,0.0158,17,NA,5
lb,L11,121,10,0,1,come,comer,stressed,0,3.044522437723423,2.0952380952380953,word3_c1v1,121,tw_start,0.2422,0.053900000000000003,87,NA,5
lb,L11,106,0,0,0,sacó,sacar,unstressed,0,-3.044522437723423,2.0952380952380953,word3_c1v1,106,tw_start,0.201,0.0114,NA,NA,5
lb,L11,105,0,0,0,lava,lavar,stressed,0,-3.044522437723423,2.0952380952380953,word3_c1v1,105,tw_start,0.1638,0.0065,45,NA,5
lb,L11,112,0,10,0,grabó,grabar,unstressed,0,-3.044522437723423,2.0952380952380953,word3_c1v1,112,tw_start,0.0908,0.0016,9,NA,5
lb,L11,119,10,0,1,compra,comprar,stressed,1,3.044522437723423,2.0952380952380953,word3_c1v1,119,tw_start,0.2911,0.0703,197,NA,5
lb,L11,134,0,10,0,cantó,cantar,unstressed,1,-3.044522437723423,2.0952380952380953,word3_c1v1,134,tw_start,0.3361,0.0447,NA,NA,5
lb,L11,102,0,0,0,guarda,guardar,stressed,1,-3.044522437723423,2.0952380952380953,word3_c1v1,102,tw_start,0.1391,0.002,NA,NA,5
lb,L16,112,0,10,0,bebió,beber,unstressed,0,-3.044522437723423,2.0952380952380953,word3_c1v1,112,tw_start,0.2518,0.0132,53,NA,1
lb,L16,123,0,10,0,llena,llenar,stressed,0,-3.044522437723423,2.0952380952380953,word3_c1v1,123,tw_start,0.1946,5e-4,371,NA,1
lb,L16,112,0,10,0,mandó,mandar,unstressed,1,-3.044522437723423,2.0952380952380953,word3_c1v1,112,tw_start,0.2871,0.0384,89,NA,1
lb,L16,134,10,0,1,firma,firmar,stressed,1,3.044522437723423,2.0952380952380953,word3_c1v1,134,tw_start,0.1185,0.0055,174,NA,1
lb,L16,107,0,10,0,subió,subir,unstressed,0,-3.044522437723423,2.0952380952380953,word3_c1v1,107,tw_start,0.1146,0.0136,NA,NA,1
lb,L16,107,10,0,1,pinta,pintar,stressed,1,3.044522437723423,2.0952380952380953,word3_c1v1,107,tw_start,0.2548,0.0158,87,NA,1
lb,L16,119,0,10,0,comió,comer,unstressed,0,-3.044522437723423,2.0952380952380953,word3_c1v1,119,tw_start,0.2422,0.053900000000000003,23,NA,1
lb,L16,107,10,0,1,saca,sacar,stressed,0,3.044522437723423,2.0952380952380953,word3_c1v1,107,tw_start,0.201,0.0114,NA,NA,1
lb,L16,105,0,10,0,lavó,lavar,unstressed,0,-3.044522437723423,2.0952380952380953,word3_c1v1,105,tw_start,0.1638,0.0065,10,NA,1
lb,L16,113,10,0,1,graba,grabar,stressed,0,3.044522437723423,2.0952380952380953,word3_c1v1,113,tw_start,0.0908,0.0016,10,NA,1
lb,L16,118,0,10,0,compró,comprar,unstressed,1,-3.044522437723423,2.0952380952380953,word3_c1v1,118,tw_start,0.2911,0.0703,72,NA,1
lb,L16,134,10,0,1,canta,cantar,stressed,1,3.044522437723423,2.0952380952380953,word3_c1v1,134,tw_start,0.3361,0.0447,NA,NA,1
lb,L16,105,10,0,1,guardó,guardar,unstressed,1,3.044522437723423,2.0952380952380953,word3_c1v1,105,tw_start,0.1391,0.002,NA,NA,1
lb,L16,106,10,0,1,rompe,romper,stressed,1,3.044522437723423,2.0952380952380953,word3_c1v1,106,tw_start,0.2484,0.022,NA,NA,1
lb,L16,123,0,10,0,cambió,cambiar,unstressed,1,-3.044522437723423,2.0952380952380953,word3_c1v1,123,tw_start,0.2947,0.0356,109,NA,1
lb,L16,127,10,0,1,lanza,lanzar,stressed,1,3.044522437723423,2.0952380952380953,word3_c1v1,127,tw_start,0.2542,0.0236,NA,NA,1
lb,L29,111,10,0,1,bebe,beber,stressed,0,3.044522437723423,2.0952380952380953,word3_c1v1,111,tw_start,0.2518,0.0132,50,NA,6
lb,L29,127,10,0,1,llenó,llenar,unstressed,0,3.044522437723423,2.0952380952380953,word3_c1v1,127,tw_start,0.1946,5e-4,61,NA,6
lb,L29,115,10,0,1,manda,mandar,stressed,1,3.044522437723423,2.0952380952380953,word3_c1v1,115,tw_start,0.2871,0.0384,110,NA,6
lb,L29,131,0,10,0,firmó,firmar,unstressed,1,-3.044522437723423,2.0952380952380953,word3_c1v1,131,tw_start,0.1185,0.0055,47,NA,6
