target,first_syl,klatese_transcription,coda,phon_prob,biphon_prob,freq
corta,cor,kor,1,0.2539,0.0581,203
firma,fir,fir,1,0.1185,0.0055,174
grita,gri,gri,0,0.0593,0.0009,77
lleva,lle,ye,0,0.1946,0.0005,765
llena,lle,ye,0,0.1946,0.0005,371
manda,man,man,1,0.2871,0.0384,110
graba,gra,gra,0,0.0908,0.0016,10
gasta,gas,gas,1,0.2626,0.0170,41
bebe,bee,be,0,0.2518,0.0132,50
come,co,ko,0,0.2422,0.0539,87
busca,bus,bus,1,0.2161,0.0096,468
llama,lla,ya,0,0.1406,0.0005,631
besa,be,be,0,0.2518,0.0132,28
mira,mi,mi,0,0.1325,0.0073,547
vive,vi,bi,0,0.1336,0.0094,417
compra,com,kom,1,0.2911,0.0703,197
vende,ven,ben,1,0.3422,0.0331,72
lava,la,la,0,0.1638,0.0065,45
fuma,fu,fu,0,0.0846,0.0034,38
pinta,pin,pin,1,0.2548,0.0158,87
toca,to,to,0,0.1808,0.0065,125
limpia,lim,lim,1,0.1485,0.0112,92
cambia,cam,kam,1,0.2947,0.0356,128
cortó,cor,kor,1,0.2539,0.0581,62
firmó,fir,fir,1,0.1185,0.0055,47
gritó,gri,gri,0,0.0593,0.0009,182
llevó,lle,ye,0,0.1946,0.0005,402
llenó,lle,ye,0,0.1946,0.0005,61
mandó,man,man,1,0.2871,0.0384,89
grabó,gra,gra,0,0.0908,0.0016,9
gastó,gas,gas,1,0.2626,0.0170,14
bebió,be,be,0,0.2518,0.0132,53
comió,co,ko,0,0.2422,0.0539,23
buscó,bus,bus,1,0.2161,0.0096,90
llamó,lla,ya,0,0.1406,0.0005,240
besó,be,be,0,0.2518,0.0132,62
miró,mi,mi,0,0.1325,0.0073,486
vivió,vi,bi,0,0.1336,0.0094,105
compró,com,kom,1,0.2911,0.0703,72
vendió,ven,ben,1,0.3422,0.0331,23
lavó,la,la,0,0.1638,0.0065,10
fumó,fu,fu,0,0.0846,0.0034,12
pintó,pin,pin,1,0.2548,0.0158,17
tocó,to,to,0,0.1808,0.0065,105
limpió,lim,lim,1,0.1485,0.0112,26
cambió,cam,kam,1,0.2947,0.0356,109
sube,su,su,0,0.1146,0.0136,NA
subió,su,su,0,0.1146,0.0136,NA
saca,sa,sa,0,0.2010,0.0114,NA
sacó,sa,sa,0,0.2010,0.0114,NA
canta,can,kan,1,0.3361,0.0447,NA
cantó,can,kan,1,0.3361,0.0447,NA
guarda,guar,guar,1,0.1391,0.0020,NA
guardó,guar,guar,1,0.1391,0.0020,NA
rompe,rom,rom,1,0.2484,0.0220,NA
rompió,rom,rom,1,0.2484,0.0220,NA
lanza,lan,lan,1,0.2542,0.0236,NA
lanzó,lan,lan,1,0.2542,0.0236,NA
