participant	pstm	wm
LA01	5	10
LA02	10	13
LA03	8	1
LA04	NA	NA
LA05	9	11
LA06	NA	NA
LA07	9	NA
LA08	8	9
LA09	8	8
LA01	9	10
LA11	8	8
LA12	5	10
LA13	8	9
LA14	NA	NA
LA15	10	11
LA16	8	7
LA17	7	8
LA18	8	10
LA19	NA	NA
LA20	7	8
LA21	9	10
LA22	7	9
LA23	8	9
LA24	10	10
LA25	7	8
LA26	8	10
LA27	9	11
LA28	8	9
LA29	9	8
LA30	8	10
LA31	7	8
IN01	9	10
IN02	10	10
IN03	9	8
IN04	9	9
IN05	10	8
IN06	9	8
IN07	8	9
IN08	11	9
IN09	7	8
IN10	7	6
IN11	9	9
IN12	8	10
IN13	8	14
IN14	7	12
IN15	10	13
IN16	11	9
IN17	10	15
IN18	6	14
IN19	7	13
IN20	9	12
IN21	10	12
IN22	9	18
IN23	6	5
HS01	NA	12
HS02	NA	NA
HS03	NA	11
HS04	NA	NA
HS05	NA	NA
HS06	NA	5
HS07	NA	10
HS08	NA	9
HS09	NA	10
HS10	NA	11
HS11	NA	NA
HS12	NA	11
HS13	NA	12
HS14	NA	0
HS15	NA	9
HS17	NA	11
HS18	NA	12
HS19	NA	9
HS20	NA	8
HS21	NA	11
HS22	NA	10
HS23	NA	7
HS24	NA	9
HS25	NA	9
HS26	NA	11
HS27	NA	9
HS28	NA	7
HS29	NA	8
HS30	NA	10
HS31	NA	9
HS32	NA	NA
L01	NA	NA
L02	NA	NA
L03	NA	NA
L04	NA	NA
L05	NA	NA
L06	NA	NA
L07	NA	NA
L08	NA	NA
L09	NA	NA
L10	NA	6
L11	NA	5
L12	NA	NA
L13	NA	8
L14	NA	4
L15	NA	9
L16	NA	1
L17	NA	NA
L18	NA	4
L19	NA	2
L20	NA	10
L21	NA	2
L22	NA	NA
L23	NA	2
L24	NA	5
L25	NA	7
L26	NA	NA
L27	NA	6
L28	NA	NA
L29	NA	6
L30	NA	6
L31	NA	NA
L32	NA	NA
L33	NA	NA
L34	NA	NA
L35	NA	NA
L36	NA	NA
L37	NA	NA
L38	NA	NA
L39	NA	NA
L40	NA	NA
L41	NA	NA
L42	NA	NA
L43	NA	NA
L44	NA	NA
L45	NA	NA
L46	NA	NA
L47	NA	NA
L48	NA	NA
L49	NA	NA
L50	NA	NA
L51	NA	NA
L52	NA	NA
L53	NA	NA
SB01	NA	6
SB02	NA	10
SB03	NA	11
SB04	NA	6
SB05	NA	11
SB06	NA	9
SB07	NA	10
SB08	NA	7
SB09	NA	8
SB10	NA	12
SB11	NA	8
SB12	NA	10
SB13	NA	11
SB14	NA	10
SB15	NA	8
SB16	NA	6
SB17	NA	12
SB18	NA	10
SB19	NA	8
SB20	NA	9
SB21	NA	9
SB22	NA	12
SB23	NA	6
SB24	NA	10
SB25	NA	10
SB30	NA	NA
SB32	NA	NA
SB38	NA	NA
