ID,PSTM
HS01,7
HS02,7
HS03,7
HS04,NA
HS05,NA
HS06,6
HS07,8
HS08,9
HS09,7
HS10,7
HS11,8
HS12,8
HS13,9
HS14,8
HS15,7
HS16,NA
HS17,8
HS18,7
HS19,8
HS20,7
HS21,8
HS22,8
HS23,8
HS24,7
HS25,6
HS26,10
HS27,8
HS28,7
HS29,7
HS30,8
HS31,5
HS32,
LA01,5
LA02,10
LA03,8
LA04,NA
LA05,9
LA06,NA
LA07,9
LA08,8
LA09,8
LA10,9
LA11,8
LA12,5
LA13,8
LA14,NA
LA15,10
LA16,8
LA17,7
LA18,8
LA19,NA
LA20,7
LA21,9
LA22,7
LA23,8
LA24,10
LA25,7
LA26,8
LA27,9
LA28,8
LA29,9
LA30,8
LA31,7
LA32,NA
LA33,NA
LA34,NA
IN01,9
IN02,10
IN03,9
IN04,9
IN05,10
IN06,9
IN07,8
IN08,11
IN09,7
IN10,7
IN11,9
IN12,8
IN13,NA
IN14,NA
IN15,NA
IN16,NA
IN17,NA
IN18,NA
IN19,NA
IN20,NA
IN21,NA
IN22,NA
IN23,NA
IN24,NA
IN25,NA
IN26,NA
IN27,NA
IN28,NA
IN29,NA
IN30,NA
L01,NA
L02,NA
L03,NA
L04,NA
L05,10
L06,5
L07,NA
L08,8
L09,NA
L10,NA
L11,8
L12,NA
L13,9
L14,7
L15,NA
L16,8
L17,NA
L18,6
L19,7
L20,NA
L21,NA
L22,NA
L23,NA
L24,8
L25,8
L26,NA
L27,8
L28,NA
L29,7
L30,9
L31,10
L32,8
L33,9
L34,9
L35,6
L36,9
L37,8
L38,10
L39,8
L40,8
L41,7
L42,9
L43,7
L44,3
L45,3
L46,7
L47,8
L48,7
L49,8
L50,9
L51,7
L52,3
L53,7
L54,NA
L30,NA
L31,NA
L33,NA
S01,NA
S02,NA
S03,NA
S04,NA
S05,NA
S06,NA
S07,NA
S08,NA
S09,NA
S10,NA
S11,NA
S12,NA
S13,NA
S14,NA
S15,NA
S16,NA
S17,NA
S18,NA
S19,NA
S20,NA
S21,NA
