participant,group,target,condition,coda,targetCount,distractorCount,targetProp,eLog,landmark
HS01,hs,bebe,stressed,0,0,10,0,-4.61512051684126,start_sentence
SB02,ss,bebe,stressed,0,0,10,0,-4.61512051684126,start_sentence
SB04,ss,bebe,stressed,0,0,0,0,-4.61512051684126,start_sentence
SB08,ss,bebe,stressed,0,10,0,1,-1.34992671694902,start_sentence
SB11,ss,bebe,stressed,0,0,10,0,-4.61512051684126,start_sentence
SB13,ss,bebe,stressed,0,10,0,1,-1.34992671694902,start_sentence
SB15,ss,bebe,stressed,0,NA,NA,NA,NA,start_sentence
SB18,ss,bebe,stressed,0,NA,NA,NA,NA,start_sentence
SB21,ss,bebe,stressed,0,10,0,1,-1.34992671694902,start_sentence
SB10,ss,bebe,stressed,0,0,10,0,-4.61512051684126,start_sentence
SB30,ss,bebe,stressed,0,10,0,1,-1.34992671694902,start_sentence
SB32,ss,bebe,stressed,0,0,10,0,-4.61512051684126,start_sentence
SB38,ss,bebe,stressed,0,10,0,1,-1.34992671694902,start_sentence
HS03,hs,bebe,stressed,0,0,0,0,-4.61512051684126,start_sentence
HS05,hs,bebe,stressed,0,10,0,1,-1.34992671694902,start_sentence
HS09,hs,bebe,stressed,0,0,0,0,-4.61512051684126,start_sentence
HS11,hs,bebe,stressed,0,10,0,1,-1.34992671694902,start_sentence
HS12,hs,bebe,stressed,0,NA,NA,NA,NA,start_sentence
HS13,hs,bebe,stressed,0,10,0,1,-1.34992671694902,start_sentence
HS15,hs,bebe,stressed,0,0,10,0,-4.61512051684126,start_sentence
HS19,hs,bebe,stressed,0,NA,NA,NA,NA,start_sentence
HS21,hs,bebe,stressed,0,10,0,1,-1.34992671694902,start_sentence
HS23,hs,bebe,stressed,0,NA,NA,NA,NA,start_sentence
HS25,hs,bebe,stressed,0,10,0,1,-1.34992671694902,start_sentence
HS27,hs,bebe,stressed,0,0,5,0,-4.61512051684126,start_sentence
HS28,hs,bebe,stressed,0,0,10,0,-4.61512051684126,start_sentence
HS31,hs,bebe,stressed,0,0,10,0,-4.61512051684126,start_sentence
LA01,la,bebe,stressed,0,10,0,1,-1.34992671694902,start_sentence
LA03,la,bebe,stressed,0,10,0,1,-1.34992671694902,start_sentence
LA05,la,bebe,stressed,0,0,10,0,-4.61512051684126,start_sentence
LA09,la,bebe,stressed,0,0,10,0,-4.61512051684126,start_sentence
LA11,la,bebe,stressed,0,0,10,0,-4.61512051684126,start_sentence
LA13,la,bebe,stressed,0,0,10,0,-4.61512051684126,start_sentence
