participant,group,target,condition,coda,targetCount,distractorCount,targetProp,eLog,landmark
SB02,ss,bebe,stressed,0,0,10,0,-4.61512051684126,start_sentence
SB04,ss,bebe,stressed,0,0,0,0,-4.61512051684126,start_sentence
SB08,ss,bebe,stressed,0,10,0,1,-1.34992671694902,start_sentence
SB11,ss,bebe,stressed,0,0,10,0,-4.61512051684126,start_sentence
SB13,ss,bebe,stressed,0,10,0,1,-1.34992671694902,start_sentence
SB15,ss,bebe,stressed,0,NA,NA,NA,NA,start_sentence
SB18,ss,bebe,stressed,0,NA,NA,NA,NA,start_sentence
SB21,ss,bebe,stressed,0,10,0,1,-1.34992671694902,start_sentence
SB10,ss,bebe,stressed,0,0,10,0,-4.61512051684126,start_sentence
SB30,ss,bebe,stressed,0,10,0,1,-1.34992671694902,start_sentence
SB32,ss,bebe,stressed,0,0,10,0,-4.61512051684126,start_sentence
SB38,ss,bebe,stressed,0,10,0,1,-1.34992671694902,start_sentence
L11,lb,bebe,stressed,0,0,0,0,-4.61512051684126,start_sentence
L13,lb,bebe,stressed,0,0,10,0,-4.61512051684126,start_sentence
L17,lb,bebe,stressed,0,0,10,0,-4.61512051684126,start_sentence
L19,lb,bebe,stressed,0,0,10,0,-4.61512051684126,start_sentence
L25,lb,bebe,stressed,0,10,0,1,-1.34992671694902,start_sentence
L27,lb,bebe,stressed,0,10,0,1,-1.34992671694902,start_sentence
L29,lb,bebe,stressed,0,0,10,0,-4.61512051684126,start_sentence
L35,lb,bebe,stressed,0,0,10,0,-4.61512051684126,start_sentence
L37,lb,bebe,stressed,0,NA,NA,NA,NA,start_sentence
L39,lb,bebe,stressed,0,0,0,0,-4.61512051684126,start_sentence
LA01,la,bebe,stressed,0,10,0,1,-1.34992671694902,start_sentence
LA03,la,bebe,stressed,0,10,0,1,-1.34992671694902,start_sentence
LA05,la,bebe,stressed,0,0,10,0,-4.61512051684126,start_sentence
LA09,la,bebe,stressed,0,0,10,0,-4.61512051684126,start_sentence
LA11,la,bebe,stressed,0,0,10,0,-4.61512051684126,start_sentence
LA13,la,bebe,stressed,0,0,10,0,-4.61512051684126,start_sentence
LA15,la,bebe,stressed,0,10,0,1,-1.34992671694902,start_sentence
LA17,la,bebe,stressed,0,0,10,0,-4.61512051684126,start_sentence
LA19,la,bebe,stressed,0,0,0,0,-4.61512051684126,start_sentence
LA21,la,bebe,stressed,0,0,0,0,-4.61512051684126,start_sentence
LA23,la,bebe,stressed,0,0,10,0,-4.61512051684126,start_sentence
LA25,la,bebe,stressed,0,10,0,1,-1.34992671694902,start_sentence
LA27,la,bebe,stressed,0,10,0,1,-1.34992671694902,start_sentence
LA29,la,bebe,stressed,0,10,0,1,-1.34992671694902,start_sentence
SB01,ss,bebio,unstressed,0,10,0,1,-1.34992671694902,start_sentence
SB03,ss,bebio,unstressed,0,0,10,0,-4.61512051684126,start_sentence
SB05,ss,bebio,unstressed,0,10,0,1,-1.34992671694902,start_sentence
SB06,ss,bebio,unstressed,0,0,0,0,-4.61512051684126,start_sentence
SB07,ss,bebio,unstressed,0,0,10,0,-4.61512051684126,start_sentence
SB10,ss,bebio,unstressed,0,9,0,0.9,-1.47440162863016,start_sentence
SB12,ss,bebio,unstressed,0,0,10,0,-4.61512051684126,start_sentence
SB14,ss,bebio,unstressed,0,0,10,0,-4.61512051684126,start_sentence
SB16,ss,bebio,unstressed,0,10,0,1,-1.34992671694902,start_sentence
SB17,ss,bebio,unstressed,0,0,10,0,-4.61512051684126,start_sentence
SB19,ss,bebio,unstressed,0,0,10,0,-4.61512051684126,start_sentence
L12,lb,bebio,unstressed,0,0,10,0,-4.61512051684126,start_sentence
L16,lb,bebio,unstressed,0,10,0,1,-1.34992671694902,start_sentence
L18,lb,bebio,unstressed,0,10,0,1,-1.34992671694902,start_sentence
L24,lb,bebio,unstressed,0,10,0,1,-1.34992671694902,start_sentence
L28,lb,bebio,unstressed,0,10,0,1,-1.34992671694902,start_sentence
L32,lb,bebio,unstressed,0,0,10,0,-4.61512051684126,start_sentence
L34,lb,bebio,unstressed,0,10,0,1,-1.34992671694902,start_sentence
L36,lb,bebio,unstressed,0,0,10,0,-4.61512051684126,start_sentence
L38,lb,bebio,unstressed,0,0,0,0,-4.61512051684126,start_sentence
L40,lb,bebio,unstressed,0,0,10,0,-4.61512051684126,start_sentence
LA02,la,bebio,unstressed,0,0,0,0,-4.61512051684126,start_sentence
LA08,la,bebio,unstressed,0,0,10,0,-4.61512051684126,start_sentence
LA10,la,bebio,unstressed,0,10,0,1,-1.34992671694902,start_sentence
LA12,la,bebio,unstressed,0,7,0,0.7,-1.75785791755237,start_sentence
LA16,la,bebio,unstressed,0,10,0,1,-1.34992671694902,start_sentence
LA18,la,bebio,unstressed,0,10,0,1,-1.34992671694902,start_sentence
LA20,la,bebio,unstressed,0,0,10,0,-4.61512051684126,start_sentence
LA22,la,bebio,unstressed,0,10,0,1,-1.34992671694902,start_sentence
LA24,la,bebio,unstressed,0,10,0,1,-1.34992671694902,start_sentence
LA26,la,bebio,unstressed,0,10,0,1,-1.34992671694902,start_sentence
LA28,la,bebio,unstressed,0,0,10,0,-4.61512051684126,start_sentence
