group,participant,WM
S,SB01,6
S,SB02,10
S,SB03,11
S,SB04,6
S,SB05,11
S,SB06,9
S,SB07,10
S,SB08,7
S,SB09,8
S,SB10,12
S,SB11,8
S,SB12,10
S,SB13,11
S,SB14,10
S,SB15,8
S,SB16,6
S,SB17,12
S,SB18,10
S,SB19,8
S,SB20,9
S,SB21,9
S,SB22,12
S,SB23,6
S,SB24,10
S,SB25,10
HS,HS01,12
HS,HS03,11
HS,HS06,5
HS,HS07,10
HS,HS08,9
HS,HS09,10
HS,HS10,11
HS,HS12,11
HS,HS13,12
HS,HS14,0
HS,HS15,9
HS,HS17,11
HS,HS18,12
HS,HS19,9
HS,HS20,8
HS,HS21,11
HS,HS22,10
HS,HS23,7
HS,HS24,9
HS,HS25,9
HS,HS26,11
HS,HS27,9
HS,HS28,7
HS,HS29,8
HS,HS30,10
HS,HS31,9
IN,IN01,10
IN,IN02,10
IN,IN03,8
IN,IN04,9
IN,IN05,8
IN,IN06,8
IN,IN07,9
IN,IN08,9
IN,IN09,8
IN,IN10,6
IN,IN11,9
IN,IN12,10
L,L02 ,NA
L,L05 ,NA
L,L06 ,NA
L,L08 ,NA
L,L10 ,6
L,L11 ,5
L,L13 ,8
L,L14 ,4
L,L15 ,9
L,L16 ,1
L,L18 ,4
L,L19 ,2
L,L20 ,10
L,L21 ,2
L,L22 ,NA
L,L23 ,2
L,L24 ,5
L,L25 ,7
L,L27 ,6
L,L29 ,6
L,L30 ,6
L,L31 ,NA
LA,LA01,10
LA,LA02,13
LA,LA03,1
LA,LA05,11
LA,LA08,9
LA,LA09,8
LA,LA10,10
LA,LA11,8
LA,LA12,10
LA,LA13,9
LA,LA15,11
LA,LA16,7
LA,LA17,8
LA,LA18,10
LA,LA20,8
LA,LA21,10
LA,LA22,9
LA,LA23,9
LA,LA24,10
LA,LA25,8
LA,LA26,10
LA,LA27,11
LA,LA28,9
LA,LA29,8
LA,LA30,10
LA,LA31,8
